Title,Product URL,Image URL,Common Name,Care Level,Maximum Size,pH,Temperature,Life Span,Behaviour,Tank Region,Gender
Albino Corydoras,https://eastoceansg.com/products/albino-cory-5-for-10,https://cdn.shopify.com/s/files/1/0430/9870/1992/files/1696588777751.jpg?v=1696588851,"Albino Corydoras, Armored Catfish, Plated Catfish",Easy,6 cm,6 - 8,22°C - 26°C,3 - 5 years,Very peaceful,Bottom,Females are larger and rounder than male of same age
Dwarf Gourami,https://eastoceansg.com/products/dwarf-gourami,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/DwarfGourami.jpg?v=1647599587,"Blue, Sunset Gourami, Powder Blue Gourami, Neon","Easy, good for freshwater beginners with a tank that has completed the aquarium nitrogen cycle.",8 cm,6 - 8,25°C - 28°C,3 - 4 years,"Mostly peaceful and hardy, they are good fish for beginners. They have a labyrinth organ that allows them to breathe air. You may see this behavior at the surface of the tank with them.",Middle to top,The male is more colourful while females are usually gray.
Ryukin Goldfish,https://eastoceansg.com/products/ryukim,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/ryukincopy_f1af33e0-f36a-44f7-8f01-6f68f32284ed.jpg?v=1647685869,"Black Moor, Lionhead, Ranchu, Oranda, Ryukin, Panda, etc.",Easy - Moderate depending on variety,"Usually 8 - 13 cm, but can be bigger",6 - 7.5,5°C - 27°C,10 - 30 years and often longer,Very peaceful,All over the tank,Males may have small white spots calledtuberclesaround their gill areas when ready to spawn. Females may be noticeably larger when swelling with eggs and the males may start to chase the females around the tank.
Black Neon Tetra,https://eastoceansg.com/products/black-neon-tetra-10-pcs,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/Black-Neon-Tropical-Tetra.jpg?v=1672830900,Black Neon Tetra,Easy,4 cm,5.5 - 7,23°C - 27°C,2 - 5 years,Very peaceful tropical fish best kept in school of 6 or more,Middle to bottom,"Can be difficult to determine, female may be more full bodied"
Red Cap Oranda Goldfish,https://eastoceansg.com/products/red-cap,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/redcapcopy_9cee5c38-87ab-4b00-ad2d-1c47a8564eb5.jpg?v=1647685740,"Black Moor, Lionhead, Ranchu, Oranda, Ryukin, Panda, etc.",Easy - Moderate depending on variety,"Usually 8 - 13 cm, but can be bigger",6 - 7.5,5°C - 27°C,10 - 30 years and often longer,Very peaceful,All over the tank,Males may have small white spots calledtuberclesaround their gill areas when ready to spawn. Females may be noticeably larger when swelling with eggs and the males may start to chase the females around the tank.
Sterbai Corydoras,https://eastoceansg.com/products/copy-sterbai-corydoras,https://cdn.shopify.com/s/files/1/0430/9870/1992/files/sterbaicopy_314e9e1f-3dac-40b3-9c29-b9e781c5f801.jpg?v=1696588945,"Sterbai Corydoras, Sterbai Cory",Easy,6.8  cm,6 - 8,21°C - 25°C,3 - 4 years,Peaceful small schooling catfish,"Bottom region, among plants and in caves","When looking from top, females will be thicker, wider"
Red Oranda Goldfish,https://eastoceansg.com/products/red-oranda,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/redoranda_af91a4f1-dd00-4a4e-9e37-d12a773b8aec.jpg?v=1647685986,"Black Moor, Lionhead, Ranchu, Oranda, Ryukin, Panda, etc.",Easy - Moderate depending on variety,"Usually 8 - 13 cm, but can be bigger",6 - 7.5,5°C - 27°C,10 - 30 years and often longer,Very peaceful,All over the tank,Males may have small white spots calledtuberclesaround their gill areas when ready to spawn. Females may be noticeably larger when swelling with eggs and the males may start to chase the females around the tank.
Tiger Barb,https://eastoceansg.com/products/tiger-barb-10-for-15,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/tigerbarbcopy_2e0372e2-5a74-4ec3-a3ee-6e2948e9a2bb.jpg?v=1647686941,"Sumatra Barb, Green and Albino, Part belt Barb",Easy,8 cm,6 - 7.5,21°C - 26°C,5 years,They can be semi-aggressive and they do best when kept in a school of 6 or more.,Middle,The female is usually bigger and the male may develop a red colouration on its nose.
"Red Line Torpedo 3-4""",https://eastoceansg.com/products/red-line-torpedo,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/RedLineTorpedo.jpg?v=1647842346,"Bleeding Eye Barb,Denison’s Flying Fox, Red Comet Barb, Red Line Barb, Red Lined Torpedo Fish, Roseline Shark, Torpedo Barb, Miss Kerala",Easy,15 cm,6.8 - 7.8,15°C - 25°C,5+ years,Peaceful with similarly sized fish,Mid Level,"Adult females grow a bit larger, are heavier-bodied, and are sometimes less brightly coloured than males."
Platinum Rummy Nose tetra,https://eastoceansg.com/products/platinum-rummy-nose-tetra,https://cdn.shopify.com/s/files/1/0430/9870/1992/files/84794004e728f35d8dde0f363da04694.jpg?v=1702115575,"Brilliant Rummy Nose Tetra, Firehead Tetra, Red Nose Tetra",Easy - Moderate,5 cm,5.5 - 7,22°C - 27°C,3 - 5 years,Very peaceful tropical fish best kept in school of 6 or more,Middle to bottom,"Can be hard to determine, female may be more full bodied"
